control,valor,esperado,cumple
fracciones_calendario_coinciden_con_dias,5.551115123125783e-17,<=1e-12,True
mezclas_modeladas_desde_diez_por_ciento,0.1,>=0.10,True
superior_pendiente_sin_estimacion,1,1,True
regular_vigente_presente,1,1,True
intensidades_finitas_no_negativas,16,16,True
