period_id,year_start,year_end,scenario_id,blend_share,relative_blend_energy,fossil_emissions_factor,ttw_reduction_fraction,reference_co2_tonnes,scenario_co2_tonnes,avoided_co2_tonnes,control_status,calculation_scope,source_lineage,annual_reproduction_status,rho_provenance,rounding_method
historical_1986_2023,1986,2023,E15,0.15,0.94890625,0.8957681541248148,0.10423184587518525,104318087,93444820,10873267,derived_not_published,aggregate_arithmetic_reconciliation_only,manuscript_reported_aggregate_totals,primary_workbook_copy_recovered_and_computationally_verified,explicit_ratio_of_recovered_notebook_parameters_21.1_MJ_per_L_over_32.0_MJ_per_L,decimal_round_half_up_to_integer_tonnes
historical_1986_2023,1986,2023,E20,0.2,0.931875,0.8584842387659289,0.14151576123407109,104318087,89555434,14762653,derived_not_published,aggregate_arithmetic_reconciliation_only,manuscript_reported_aggregate_totals,primary_workbook_copy_recovered_and_computationally_verified,explicit_ratio_of_recovered_notebook_parameters_21.1_MJ_per_L_over_32.0_MJ_per_L,decimal_round_half_up_to_integer_tonnes
prospective_2026_2030,2026,2030,E15,0.15,0.94890625,0.8957681541248148,0.10423184587518525,41728481,37379044,4349437,derived_not_published,aggregate_arithmetic_reconciliation_only,manuscript_reported_aggregate_totals,primary_workbook_copy_recovered_and_computationally_verified,explicit_ratio_of_recovered_notebook_parameters_21.1_MJ_per_L_over_32.0_MJ_per_L,decimal_round_half_up_to_integer_tonnes
prospective_2026_2030,2026,2030,E20,0.2,0.931875,0.8584842387659289,0.14151576123407109,41728481,35823243,5905238,derived_not_published,aggregate_arithmetic_reconciliation_only,manuscript_reported_aggregate_totals,primary_workbook_copy_recovered_and_computationally_verified,explicit_ratio_of_recovered_notebook_parameters_21.1_MJ_per_L_over_32.0_MJ_per_L,decimal_round_half_up_to_integer_tonnes
