period_id,year_coverage,excluded_years,n_years,reference_co2_tonnes,scenario_co2_tonnes,avoided_co2_tonnes,reference_co2_tonnes_rounded,scenario_co2_tonnes_rounded,avoided_co2_tonnes_rounded,source_lineage,calculation_scope
historical_1986_2023,1986-2023,,38,104318087.17351945,97197053.07658882,7121034.096930633,104318087,97197053,7121034,article_notebook_recovered,annual_reconstruction_from_notebook_outputs
prospective_2026_2030,2026-2030,,5,41728480.89979113,38879982.20362292,2848498.6961682066,41728481,38879982,2848499,article_notebook_recovered,annual_reconstruction_from_notebook_outputs
reported_periods_combined_excluding_2024_2025,1986-2023|2026-2030,2024|2025,43,146046568.07331058,136077035.28021175,9969532.79309884,146046568,136077035,9969533,article_notebook_recovered,disjoint_reported_periods_not_continuous_1986_2030
