codigo_proxy,producto_proxy,naturaleza,es_escenario_central,choque_demanda_final_millones_q_2013,componentes_no_cero_choque,cambio_produccion_total_millones_q_2013,cambio_produccion_indirecta_millones_q_2013,multiplicador_produccion,cambio_valor_agregado_millones_q_2013,multiplicador_valor_agregado,cambio_puestos_trabajo_modelados,produccion_propia_proxy_millones_q_2013
P010,Caña de azúcar y otras plantas azucareras,sensibilidad_domestica_normalizada_no_observada,False,1.0,1,1.6869393635831764,0.6869393635831764,1.6869393635831764,0.791234837613868,0.791234837613868,15.815116553967322,1.00099501753656
P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",sensibilidad_domestica_normalizada_no_observada,False,1.0,1,2.0234002107765936,1.0234002107765936,2.0234002107765936,0.8301108246973388,0.8301108246973388,9.517537726283804,1.00106430568315
P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",sensibilidad_domestica_normalizada_no_observada,False,1.0,1,1.8173905960803975,0.8173905960803975,1.8173905960803975,0.7989536645283971,0.7989536645283971,11.862346535402754,1.05908600421642
