id_escenario,escenario,recargo_entrega_ilustrativo_fraccion,participacion_gasolina_en_p068,grupo_analitico,descripcion,codigo_inicio,codigo_fin,numero_productos,produccion_base_millones_q_2013,efecto_precio_ponderado_produccion_pct,efecto_precio_minimo_producto_pct,efecto_precio_maximo_producto_pct
E10_r15_p068_450,E10,0.15,0.45,mineria,"Petróleo crudo, gas natural y minerales.",P031,P033,3,8450.23278764872,0.010360155035655919,0.00615150006910798,0.015529639635434255
E10_r15_p068_450,E10,0.15,0.45,alimentos_bebidas_tabaco,"Alimentos procesados, bebidas y tabaco.",P034,P058,25,85313.2317468036,0.006500630768666813,0.00212875754429297,0.012846390394511697
E10_r15_p068_450,E10,0.15,0.45,manufactura_otros_y_refinacion,"Textiles, cuero, madera, papel, edición, impresión y refinación.",P059,P070,12,24472.43089526476,0.005987643725512691,0.0,0.013920983075289254
E10_r15_p068_450,E10,0.15,0.45,quimica_farmaceutica,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos.",P071,P075,5,15290.689256096739,0.004709163142672435,0.0018416055709996881,0.01039277187938488
E10_r15_p068_450,E10,0.15,0.45,otras_manufacturas,"Caucho, plástico, minerales no metálicos, metales, maquinaria, equipo, muebles y otros.",P076,P094,19,37622.85104702268,0.006256153843171531,0.0,0.024307974751325817
E10_r15_p068_450,E10,0.15,0.45,electricidad_agua_desechos,"Electricidad, gas, agua y gestión de desechos.",P095,P097,3,18377.121163366268,0.020434896102250903,0.012559461039790207,0.02245726071512858
E10_r15_p068_450,E10,0.15,0.45,construccion,"Edificaciones, obras civiles y servicios de construcción.",P098,P101,4,42692.54198585462,0.005782036932849274,0.0033360676515115885,0.008573405773086485
E10_r15_p068_450,E10,0.15,0.45,comercio_reparacion,Comercio y reparación de vehículos.,P102,P103,2,110301.56241488637,0.0047655399956637,0.004479512772484671,0.00829999463968787
E10_r15_p068_450,E10,0.15,0.45,transporte_logistica,"Transporte de pasajeros y carga, almacenamiento, apoyo, correo y mensajería.",P104,P109,6,25090.974998895443,0.033069105120197236,0.003101471156649771,0.04478747314798218
E10_r15_p068_450,E10,0.15,0.45,alojamiento_comidas,Alojamiento y suministro de comidas y bebidas.,P110,P111,2,29302.71482493113,0.004178220780547904,0.003971814843067963,0.007196784782170753
E10_r15_p068_450,E10,0.15,0.45,servicios_privados,"Información, finanzas, inmobiliarios, profesionales, administrativos y otros servicios de mercado.",P112,P136,25,144897.2483061703,0.0026368269087966496,0.00035702816679405883,0.007347445383372575
E10_r15_p068_450,E10,0.15,0.45,servicios_publicos_sociales,"Gobierno, enseñanza, salud, cultura, asociaciones y servicios domésticos.",P137,P150,14,78471.62944532983,0.003241400601343147,0.0,0.010618976207978201
E10_r15_p068_450,E10,0.15,0.45,ajustes_comercio_exterior,Compras directas de residentes y no residentes.,P151,P152,2,0.0,0.0,0.0,0.0
E10_r15_p068_502,E10,0.15,0.502,agricultura_pesca_silvicultura,"Agricultura, ganadería, silvicultura y pesca.",P001,P030,30,74663.33847793967,0.005897602818314799,0.0012891750952318676,0.05065274977506627
E10_r15_p068_502,E10,0.15,0.502,mineria,"Petróleo crudo, gas natural y minerales.",P031,P033,3,8450.23278764872,0.01155732850644282,0.0068623400770937894,0.017324175771084426
E10_r15_p068_502,E10,0.15,0.502,alimentos_bebidas_tabaco,"Alimentos procesados, bebidas y tabaco.",P034,P058,25,85313.2317468036,0.007251814768601646,0.0023747473049668243,0.014330862173433056
E10_r15_p068_502,E10,0.15,0.502,manufactura_otros_y_refinacion,"Textiles, cuero, madera, papel, edición, impresión y refinación.",P059,P070,12,24472.43089526476,0.006679549222683046,0.0,0.015529630008433791
E10_r15_p068_502,E10,0.15,0.502,quimica_farmaceutica,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos.",P071,P075,5,15290.689256096739,0.005253333105825694,0.0020544133258707624,0.011593714407669358
E10_r15_p068_502,E10,0.15,0.502,otras_manufacturas,"Caucho, plástico, minerales no metálicos, metales, maquinaria, equipo, muebles y otros.",P076,P094,19,37622.85104702268,0.006979087176160239,0.0,0.027116896278145685
E10_r15_p068_502,E10,0.15,0.502,electricidad_agua_desechos,"Electricidad, gas, agua y gestión de desechos.",P095,P097,3,18377.121163366268,0.02279626187406656,0.014010776537721521,0.02505232195332121
E10_r15_p068_502,E10,0.15,0.502,construccion,"Edificaciones, obras civiles y servicios de construcción.",P098,P101,4,42692.54198585462,0.006450183422867412,0.0037215688023529286,0.009564110440198701
